,order,Date,Price,Open,High,Low,Change %,volatility
149,633,"Jul 28, 2017",1.1752,1.1677,1.1765,1.1671,0.64%,0.6242687442618131
150,632,"Jul 31, 2017",1.1842,1.1737,1.1847,1.1723,0.77%,0.4289283938253733
151,631,"Aug 01, 2017",1.1802,1.1841,1.1845,1.1784,-0.34%,0.3655534707995292
152,630,"Aug 02, 2017",1.1856,1.1802,1.1911,1.1794,0.46%,0.6259532209521013
153,629,"Aug 03, 2017",1.187,1.1856,1.1894,1.1831,0.12%,0.7386107337588177
154,628,"Aug 04, 2017",1.1772,1.1871,1.1893,1.1731,-0.83%,0.19514129022876717
155,627,"Aug 07, 2017",1.1796,1.1768,1.1816,1.1767,0.20%,0.2982293440618219
156,626,"Aug 08, 2017",1.175,1.1794,1.1825,1.1714,-0.39%,0.2716366285987685
157,625,"Aug 09, 2017",1.1759,1.1752,1.1765,1.1689,0.08%,0.25665796342069663
158,624,"Aug 10, 2017",1.1772,1.1759,1.1786,1.1704,0.11%,0.253666203296976
159,623,"Aug 11, 2017",1.1821,1.1771,1.1846,1.1747,0.42%,0.5014209987001805
160,622,"Aug 14, 2017",1.178,1.1806,1.1840000000000002,1.177,-0.35%,0.2723470541759572
161,621,"Aug 15, 2017",1.1735,1.178,1.1794,1.1688,-0.38%,0.3884941271704806
162,620,"Aug 16, 2017",1.177,1.1734,1.178,1.1682,0.30%,0.260289831299838
163,619,"Aug 17, 2017",1.1724,1.1767,1.179,1.1662,-0.39%,0.8198352749180714
164,618,"Aug 18, 2017",1.1762,1.1723,1.1775,1.1707,0.32%,0.9105715061962847
165,617,"Aug 21, 2017",1.1816,1.175,1.183,1.1731,0.46%,0.8235837762728623
166,616,"Aug 22, 2017",1.1762,1.1815,1.1826,1.1745,-0.46%,1.1855797562760482
167,615,"Aug 23, 2017",1.1807,1.1763,1.1825,1.1741,0.38%,0.9464863038153608
168,614,"Aug 24, 2017",1.1799,1.1807,1.1821,1.1784,-0.07%,1.0202337722105461
169,613,"Aug 25, 2017",1.1926,1.1799,1.1942,1.1773,1.08%,0.3531827538429866
170,612,"Aug 28, 2017",1.1979,1.1926,1.1985,1.1917,0.44%,0.6274061154964713
171,611,"Aug 29, 2017",1.1972,1.1978,1.2069,1.1945,-0.06%,0.6047994493069794
172,610,"Aug 30, 2017",1.1883,1.1974,1.1986,1.1881,-0.74%,0.48437823550141185
173,609,"Aug 31, 2017",1.1909999999999998,1.1884,1.1914,1.1823,0.23%,0.5610556208233178
174,608,"Sep 01, 2017",1.1859,1.1911,1.1981,1.185,-0.43%,0.869724939927707
175,607,"Sep 04, 2017",1.1896,1.1858,1.1923,1.1853,0.31%,0.6702771697262709
176,606,"Sep 05, 2017",1.1914,1.1896,1.1941,1.1868,0.15%,0.564346627712386
177,605,"Sep 06, 2017",1.1917,1.1914,1.1951,1.1903,0.03%,0.5486205771886569
178,604,"Sep 07, 2017",1.2023,1.1917,1.2061,1.1914,0.89%,0.6606588396863149
179,603,"Sep 08, 2017",1.2035,1.2024,1.2094,1.2016,0.10%,0.7821783231038231
180,602,"Sep 11, 2017",1.1953,1.2041,1.2041,1.1948,-0.68%,0.2760813184974481
181,601,"Sep 12, 2017",1.1967,1.1953,1.198,1.1926,0.12%,0.397191812031974
182,600,"Sep 13, 2017",1.1886,1.1967,1.1995,1.1872,-0.68%,0.48954140175514926
183,599,"Sep 14, 2017",1.1919,1.1884,1.1922,1.1837,0.28%,0.31409989995821214
184,598,"Sep 15, 2017",1.1943,1.1919,1.1988,1.1901,0.20%,0.37939897387232585
185,597,"Sep 18, 2017",1.1954,1.1949,1.1971,1.1915,0.09%,0.652953075157933
186,596,"Sep 19, 2017",1.1994,1.1955,1.2008,1.195,0.33%,1.1741508717959335
187,595,"Sep 20, 2017",1.1893,1.1994,1.2033,1.1862,-0.84%,0.7226114397518327
188,594,"Sep 21, 2017",1.1941,1.1894,1.1955,1.1866,0.40%,1.0482959343131857
189,593,"Sep 22, 2017",1.1954,1.1942,1.2006,1.1937,0.11%,1.3353421188815902
190,592,"Sep 25, 2017",1.1848,1.1953,1.1962,1.1833,-0.89%,0.6623843402509603
191,591,"Sep 26, 2017",1.1793,1.1848,1.1863,1.1758,-0.46%,0.32212939990129913
192,590,"Sep 27, 2017",1.1744,1.1792,1.1797,1.1717,-0.42%,0.29059869427422985
193,589,"Sep 28, 2017",1.1786,1.1746,1.1805,1.1721,0.36%,0.38574810526622827
194,588,"Sep 29, 2017",1.1814,1.1787,1.1834,1.1773,0.24%,0.6143808825499147
195,587,"Oct 02, 2017",1.1732,1.1818,1.1818,1.173,-0.69%,0.2681918295695932
196,586,"Oct 03, 2017",1.1744,1.1733,1.1775,1.1696,0.10%,0.4380166312953986
197,585,"Oct 04, 2017",1.176,1.1743,1.1788,1.1733,0.14%,0.45741434667647113
198,584,"Oct 05, 2017",1.1711,1.1758,1.178,1.1698,-0.42%,0.7843587581029944
199,583,"Oct 06, 2017",1.1734,1.171,1.1739,1.1668,0.20%,0.6598471348844784
200,582,"Oct 09, 2017",1.1741,1.1728,1.1758,1.1718,0.06%,0.6154875692115199
201,581,"Oct 10, 2017",1.1806,1.1739,1.1825,1.1738,0.55%,0.242043994276922
202,580,"Oct 11, 2017",1.1859,1.1808,1.1871,1.1795,0.45%,0.4491850901360012
203,579,"Oct 12, 2017",1.183,1.1862,1.1882,1.1826,-0.24%,0.31291099272960676
204,578,"Oct 13, 2017",1.1823,1.1829,1.1875,1.1804,-0.06%,0.3642454142309425
205,577,"Oct 16, 2017",1.1797,1.1825,1.1826,1.1781,-0.22%,0.2835047120714933
206,576,"Oct 17, 2017",1.1766,1.1797,1.1801,1.1735,-0.26%,0.33261343238458085
207,575,"Oct 18, 2017",1.1787,1.1764,1.1805,1.1729,0.18%,0.5149997808234815
