order,Date,Price,Open,High,Low,Vol.,Change %
624,"Aug 22, 2017","1,335.50","1,335.50","1,335.50","1,335.50",0.10K,-0.41%
623,"Aug 23, 2017","1,338.80","1,338.80","1,338.80","1,338.80",0.25K,0.25%
622,"Aug 24, 2017","1,336.00","1,336.00","1,336.00","1,336.00",0.55K,-0.21%
621,"Aug 25, 2017","1,341.90","1,341.90","1,341.90","1,341.90",0.28K,0.44%
620,"Aug 28, 2017","1,359.70","1,359.70","1,359.70","1,359.70",0.15K,1.33%
619,"Aug 29, 2017","1,362.80","1,368.70","1,368.70","1,368.30",0.00K,0.23%
618,"Aug 30, 2017","1,358.00","1,358.00","1,358.00","1,358.00",0.37K,-0.35%
617,"Aug 31, 2017","1,365.60","1,371.00","1,371.00","1,371.00",0.00K,0.56%
616,"Sep 01, 2017","1,374.20","1,374.20","1,374.20","1,374.20",0.01K,0.63%
615,"Sep 03, 2017","1,341.22","1,340.54","1,342.07","1,338.96",-,-2.40%
614,"Sep 04, 2017","1,338.08","1,341.21","1,344.59","1,337.01",-,-0.23%
613,"Sep 05, 2017","1,388.30","1,387.50","1,387.50","1,387.50",0.00K,3.75%
612,"Sep 06, 2017","1,383.00","1,383.00","1,383.00","1,383.00",0.02K,-0.38%
611,"Sep 07, 2017","1,395.10","1,397.80","1,397.80","1,397.80",0.00K,0.87%
610,"Sep 08, 2017","1,396.40","1,396.40","1,396.40","1,396.40",0.00K,0.09%
609,"Sep 11, 2017","1,381.20","1,381.20","1,381.20","1,381.20",0.01K,-1.09%
608,"Sep 12, 2017","1,378.90","1,378.90","1,378.90","1,378.90",0.50K,-0.17%
607,"Sep 13, 2017","1,373.80","1,373.80","1,373.80","1,373.80",0.08K,-0.37%
606,"Sep 14, 2017","1,376.30","1,376.30","1,376.30","1,376.30",0.24K,0.18%
605,"Sep 15, 2017","1,372.20","1,372.20","1,372.20","1,372.20",0.15K,-0.30%
604,"Sep 18, 2017","1,357.40","1,357.40","1,357.40","1,357.40",0.00K,-1.08%
603,"Sep 19, 2017","1,358.30","1,358.30","1,358.30","1,358.30",0.04K,0.07%
602,"Sep 20, 2017","1,364.00","1,364.00","1,364.00","1,364.00",0.01K,0.42%
